year,oni_mean,oni_max,oni_min,oni_mean_lag1
1950,-0.86,-0.39,-1.53,
1951,0.43083333333333335,1.15,-0.82,-0.86
1952,0.17416666666666666,0.53,-0.08,0.43083333333333335
1953,0.7133333333333334,0.84,0.4,0.17416666666666666
1954,-0.4008333333333334,0.76,-0.9,0.7133333333333334
1955,-0.9483333333333334,-0.62,-1.67,-0.4008333333333334
1956,-0.5775,-0.42,-1.11,-0.9483333333333334
1957,0.9608333333333334,1.74,-0.25,-0.5775
1958,0.8325,1.81,0.39,0.9608333333333334
1959,0.13666666666666666,0.62,-0.28,0.8325
1960,0.06833333333333333,0.27,-0.1,0.13666666666666666
1961,-0.016666666666666666,0.27,-0.3,0.06833333333333333
1962,-0.215,-0.04,-0.43,-0.016666666666666666
1963,0.6575,1.37,-0.4,-0.215
1964,-0.3416666666666666,1.07,-0.82,0.6575
1965,0.9008333333333334,1.98,-0.59,-0.3416666666666666
1966,0.375,1.37,-0.3,0.9008333333333334
1967,-0.30666666666666664,0.05,-0.53,0.375
1968,0.135,0.98,-0.74,-0.30666666666666664
1969,0.745,1.13,0.36,0.135
1970,-0.32,0.51,-1.15,0.745
1971,-0.94,-0.73,-1.38,-0.32
1972,0.9274999999999999,2.12,-0.71,-0.94
1973,-0.6175,1.84,-2.03,0.9274999999999999
1974,-0.8866666666666667,-0.37,-1.84,-0.6175
1975,-1.0525,-0.54,-1.65,-0.8866666666666667
1976,-0.049166666666666664,0.86,-1.56,-1.0525
1977,0.5116666666666666,0.81,0.21,-0.049166666666666664
1978,-0.09833333333333333,0.69,-0.42,0.5116666666666666
1979,0.25083333333333335,0.64,0.03,-0.09833333333333333
1980,0.25333333333333335,0.59,-0.07,0.25083333333333335
1981,-0.2683333333333333,-0.08,-0.5,0.25333333333333335
1982,0.9900000000000001,2.23,-0.05,-0.2683333333333333
1983,0.48,2.18,-1.0,0.9900000000000001
1984,-0.5058333333333334,-0.16,-1.14,0.48
1985,-0.5983333333333333,-0.27,-1.04,-0.5058333333333334
1986,0.25333333333333335,1.22,-0.49,-0.5983333333333333
1987,1.2766666666666666,1.7,0.95,0.25333333333333335
1988,-0.8108333333333334,0.81,-1.85,1.2766666666666666
1989,-0.605,-0.05,-1.69,-0.8108333333333334
1990,0.315,0.41,0.14,-0.605
1991,0.6466666666666666,1.53,0.22,0.315
1992,0.6308333333333334,1.71,-0.28,0.6466666666666666
1993,0.3125,0.7,0.04,0.6308333333333334
1994,0.47500000000000003,1.09,0.06,0.3125
1995,-0.16,0.96,-1.0,0.47500000000000003
1996,-0.45999999999999996,-0.27,-0.9,-0.16
1997,1.1708333333333334,2.4,-0.5,-0.45999999999999996
1998,-0.057500000000000016,2.24,-1.57,1.1708333333333334
1999,-1.2249999999999999,-0.98,-1.65,-0.057500000000000016
2000,-0.8358333333333333,-0.51,-1.66,-1.2249999999999999
2001,-0.30833333333333335,-0.08,-0.68,-0.8358333333333333
2002,0.6308333333333334,1.31,-0.15,-0.30833333333333335
2003,0.2508333333333333,0.92,-0.26,0.6308333333333334
2004,0.4466666666666667,0.7,0.17,0.2508333333333333
2005,0.04083333333333334,0.64,-0.84,0.4466666666666667
2006,0.07166666666666667,0.94,-0.85,0.04083333333333334
2007,-0.6075,0.66,-1.6,0.07166666666666667
2008,-0.7816666666666666,-0.23,-1.64,-0.6075
2009,0.2816666666666667,1.56,-0.85,-0.7816666666666666
2010,-0.47500000000000003,1.5,-1.64,0.2816666666666667
2011,-0.775,-0.37,-1.31,-0.47500000000000003
2012,-0.06333333333333334,0.41,-0.72,-0.775
2013,-0.23416666666666666,-0.1,-0.35,-0.06333333333333334
2014,0.205,0.77,-0.32,-0.23416666666666666
2015,1.5483333333333331,2.75,0.61,0.205
2016,0.42333333333333334,2.63,-0.64,1.5483333333333331
2017,-0.11499999999999999,0.4,-0.86,0.42333333333333334
2018,0.09416666666666669,0.97,-0.77,-0.11499999999999999
2019,0.5750000000000001,0.89,0.19,0.09416666666666669
2020,-0.27166666666666667,0.64,-1.2,0.5750000000000001
2021,-0.635,-0.3,-0.91,-0.27166666666666667
2022,-0.85,-0.71,-0.97,-0.635
2023,0.9,2.06,-0.54,-0.85
2024,0.4366666666666667,1.92,-0.42,0.9
2025,-0.2675,0.02,-0.55,0.4366666666666667
2026,-0.13666666666666666,0.11,-0.37,-0.2675
