Año,Departamento,Producto,Área Cosechada,Área Sembrada,Producción,Rendimiento,Ciclo
2007,NARIÑO,CAFE,"24.458,50","28.331,50","31.770,05","40,76",PERMANENTE
2007,QUINDIO,CAFE,"19.904,00","23.568,47","25.426,00","15,38",PERMANENTE
2008,NARIÑO,CAFE,"25.582,00","30.219,50","31.262,50","39,78",PERMANENTE
2008,QUINDIO,CAFE,"19.571,00","23.213,16","23.669,00","14,55",PERMANENTE
2009,NARIÑO,CAFE,"26.467,20","31.590,25","27.487,71","36,05",PERMANENTE
2009,QUINDIO,CAFE,"19.052,00","22.862,25","21.985,00","13,92",PERMANENTE
2010,NARIÑO,CAFE,"23.504,05","31.969,40","24.594,11","41,70",PERMANENTE
2010,QUINDIO,CAFE,"18.159,00","22.440,45","21.065,00","14,02",PERMANENTE
2011,NARIÑO,CAFE,"24.263,80","34.420,80","24.073,95","40,34",PERMANENTE
2011,QUINDIO,CAFE,"20.139,30","31.079,50","20.814,12","12,10",PERMANENTE
2012,NARIÑO,CAFE,"27.806,40","36.994,40","28.077,94","35,26",PERMANENTE
2012,QUINDIO,CAFE,"21.109,83","30.180,77","18.030,12","10,43",PERMANENTE
2013,NARIÑO,CAFE,"32.136,51","39.292,66","28.606,95","30,52",PERMANENTE
2013,QUINDIO,CAFE,"21.203,03","28.879,81","20.599,27","11,74",PERMANENTE
2014,NARIÑO,CAFE,"33.608,32","38.861,53","32.321,58","33,86",PERMANENTE
2014,QUINDIO,CAFE,"21.462,81","27.673,50","22.518,42","12,69",PERMANENTE
2015,NARIÑO,CAFE,"33.490,93","38.848,95","36.607,56","40,18",PERMANENTE
2015,QUINDIO,CAFE,"21.491,21","27.023,59","24.694,55","14,07",PERMANENTE
2016,NARIÑO,CAFE,"32.750,14","38.751,26","37.020,93","41,56",PERMANENTE
2016,QUINDIO,CAFE,"20.041,68","25.684,84","23.791,29","14,56",PERMANENTE
2017,NARIÑO,CAFE,"33.639,55","38.169,73","35.004,19","37,88",PERMANENTE
2017,QUINDIO,CAFE,"17.699,67","23.755,08","18.792,06","12,57",PERMANENTE
2018,NARIÑO,CAFE,"33.465,54","37.617,78","35.679,42","38,69",PERMANENTE
2018,QUINDIO,CAFE,"16.374,73","21.746,95","17.739,05","12,86",PERMANENTE
2019,NARIÑO,CAFE,"30.167,37","36.262,51","38.828,11","47,29",PERMANENTE
2019,QUINDIO,CAFE,"14.820,90","20.023,09","19.705,84","16,18",PERMANENTE
2020,NARIÑO,CAFE,"31.324,00","35.873,00","34.007,91","40,35",PERMANENTE
2020,QUINDIO,CAFE,"15.370,76","19.646,76","18.496,76","14,49",PERMANENTE
2021,NARIÑO,CAFE,"30.987,53","35.588,01","32.546,51","41,53",PERMANENTE
2021,QUINDIO,CAFE,"14.590,83","18.871,27","15.351,68","12,87",PERMANENTE
2022,NARIÑO,CAFE,"29.495,25","35.765,21","26.660,59","33,75",PERMANENTE
2022,QUINDIO,CAFE,"14.259,28","18.436,79","13.441,83","11,33",PERMANENTE
2023,NARIÑO,CAFE,"29.630,75","35.991,77","27.283,00","34,08",PERMANENTE
2023,QUINDIO,CAFE,"13.907,35","18.051,44","14.906,18","13,95",PERMANENTE
2024,NARIÑO,CAFE,"28.477,93","35.447,63","32.170,60","42,02",PERMANENTE
2024,QUINDIO,CAFE,"13.689,87","17.929,55","18.484,67","16,24",PERMANENTE
