departamento,year,ndvi_mean,ndvi_min,ndvi_max,evi_mean,evi_min,evi_max
Narino,2012,0.4708708032891412,0.38134572035688147,0.5880312931687999,0.31762358784029676,0.25088202471525606,0.3989227852279099
Narino,2013,0.4269337945030469,0.3656951748064186,0.6143296277602409,0.29233885078527155,0.2323857540482874,0.40884979225640744
Narino,2014,0.468278400766382,0.3361145367113997,0.5480372840056,0.3226019078156527,0.24766053801875104,0.3738620381034764
Narino,2015,0.5028599638876039,0.38836216952977837,0.5936678377790188,0.34114840425513465,0.2819947495286418,0.3838256123289639
Narino,2016,0.4407680356328336,0.3221409326306427,0.6374236366654423,0.30305330402560776,0.22207183971272873,0.40513564617378567
Narino,2017,0.49733545787276173,0.34334579441782664,0.7619015599817098,0.3416962129252722,0.24849008124174649,0.45294929962780933
Narino,2018,0.4493093085884,0.32111281483845105,0.5532814193932719,0.30985488959868585,0.23098843531261104,0.3961831776966458
Narino,2019,0.44556587023608524,0.3364764908617734,0.5576141958271904,0.3071403485975079,0.24108779556173293,0.3592479986062582
Quindio,2012,0.5568377139228831,0.3227664221223836,0.7709775794708189,0.3961764247691292,0.2356197599360784,0.49731145484645883
Quindio,2013,0.5302121766954625,0.36956429281488445,0.7596862849733484,0.37683075917964043,0.2881558840854733,0.49047419550530497
Quindio,2014,0.5775100154738181,0.30390940562466157,0.7725383412336337,0.4122933370459177,0.24318995922768216,0.5038040127397087
Quindio,2015,0.5903304162855489,0.45857861725209353,0.7364421461659597,0.41416431502469914,0.3335883502051442,0.4879850397428373
Quindio,2016,0.5742671960458413,0.4324745260131024,0.7671352296230247,0.4038831106551644,0.3104516301713235,0.5078599521412152
Quindio,2017,0.5322713111396496,0.36645777346716085,0.6973674416567732,0.38962659869629845,0.2696770931608713,0.5168908118263377
Quindio,2018,0.5519346516557,0.3465917824060976,0.7642157622652765,0.392890483504918,0.27087625690878875,0.49455661587795285
Quindio,2019,0.545575441183668,0.3245250004798156,0.7513891207642156,0.39085921076550717,0.24632408523109925,0.4804610928481728
