year,precio_cop_carga,precio_lag1,precio_lag2
2005,457069.8372695853,,
2006,465926.49689580133,457069.8372695853,
2007,457462.5528033794,465926.49689580133,457069.8372695853
2008,493759.39392534917,457462.5528033794,465926.49689580133
2009,657982.4508768561,493759.39392534917,457462.5528033794
2010,754673.1574820789,657982.4508768561,493759.39392534917
2011,976023.6138632871,754673.1574820789,657982.4508768561
2012,660589.2755067359,976023.6138632871,754673.1574820789
2013,466373.583109319,660589.2755067359,976023.6138632871
2014,702634.0165770609,466373.583109319,660589.2755067359
2015,716423.1758832565,702634.0165770609,466373.583109319
2016,829826.9535595105,716423.1758832565,702634.0165770609
2017,818147.6446492575,829826.9535595105,716423.1758832565
2018,741105.269937276,818147.6446492575,829826.9535595105
2019,787472.5838453661,741105.269937276,818147.6446492575
2020,1048184.1583240638,787472.5838453661,741105.269937276
2021,1519807.6043575753,1048184.1583240638,787472.5838453661
2022,2151004.149332592,1519807.6043575753,1048184.1583240638
2023,1628068.6497166164,2151004.149332592,1519807.6043575753
2024,1894146.4749103943,1628068.6497166164,2151004.149332592
2025,2863825.323348694,1894146.4749103943,1628068.6497166164
2026,2343058.419354839,2863825.323348694,1894146.4749103943
