departamento,variable,importancia_shap_pct,es_top3,top3_pct_departamento,r2_shap_insample,tipo_variable
Narino,rend_mun_media,47.581206087387216,True,66.6519249680251,0.6954896066663032,Efecto fijo
Narino,roya,11.804138698965234,True,66.6519249680251,0.6954896066663032,Precio/Roya
Narino,spi3_mean_lag1,7.266580181672645,True,66.6519249680251,0.6954896066663032,Climática
Narino,oni_mean,6.390649738438168,False,66.6519249680251,0.6954896066663032,Climática
Narino,spi3_desarrollo,6.124953682322883,False,66.6519249680251,0.6954896066663032,Climática
Narino,spi3_floracion,5.679302173474707,False,66.6519249680251,0.6954896066663032,Climática
Narino,precio_cop_carga,4.885160105727126,False,66.6519249680251,0.6954896066663032,Precio/Roya
Narino,spi3_min,3.3830073783068246,False,66.6519249680251,0.6954896066663032,Climática
Narino,spi3_cosecha,3.081742742363175,False,66.6519249680251,0.6954896066663032,Climática
Narino,spi3_mean,1.8734135972311137,False,66.6519249680251,0.6954896066663032,Climática
Narino,n_sequia,1.0953275766346593,False,66.6519249680251,0.6954896066663032,Precio/Roya
Narino,n_sequia_lag1,0.8345180374762552,False,66.6519249680251,0.6954896066663032,Precio/Roya
Narino,n_exceso,0.0,False,66.6519249680251,0.6954896066663032,Precio/Roya
Quindio,rend_mun_media,44.889167972255706,True,69.8061864330365,0.9574292852416524,Efecto fijo
Quindio,spi3_mean_lag1,12.96899519937032,True,69.8061864330365,0.9574292852416524,Climática
Quindio,spi3_floracion,11.948023261410476,True,69.8061864330365,0.9574292852416524,Climática
Quindio,spi3_desarrollo,8.364916418018483,False,69.8061864330365,0.9574292852416524,Climática
Quindio,precio_cop_carga,5.2017256326070695,False,69.8061864330365,0.9574292852416524,Precio/Roya
Quindio,oni_mean,4.055442690229884,False,69.8061864330365,0.9574292852416524,Climática
Quindio,roya,3.806864498610732,False,69.8061864330365,0.9574292852416524,Precio/Roya
Quindio,spi3_cosecha,3.4580208097960363,False,69.8061864330365,0.9574292852416524,Climática
Quindio,spi3_min,3.0853999990523073,False,69.8061864330365,0.9574292852416524,Climática
Quindio,spi3_mean,1.0269186967860289,False,69.8061864330365,0.9574292852416524,Climática
Quindio,n_sequia_lag1,0.6684953173998278,False,69.8061864330365,0.9574292852416524,Precio/Roya
Quindio,n_sequia,0.32945522457427723,False,69.8061864330365,0.9574292852416524,Precio/Roya
Quindio,n_exceso,0.19657427988885282,False,69.8061864330365,0.9574292852416524,Precio/Roya
